"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"110002","Barletta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",94316,"p","dato provvisorio"
"110009","Trani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",56011,"p","dato provvisorio"
"077014","Matera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",60411,"p","dato provvisorio"
"078045","Cosenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",66457,"p","dato provvisorio"
"080063","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",178760,"p","dato provvisorio"
"102047","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",32769,"p","dato provvisorio"
"018003","Albonese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",534,"p","dato provvisorio"
"014002","Albosaggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2997,"p","dato provvisorio"
"005002","Albugnano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",500,"p","dato provvisorio"
"018004","Albuzzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3638,"p","dato provvisorio"
"081001","Alcamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",45406,"p","dato provvisorio"
"083001","Alcara li Fusi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1812,"p","dato provvisorio"
"022003","Aldeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3148,"p","dato provvisorio"
"021001","Aldino/Aldein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1656,"p","dato provvisorio"
"095004","Ales","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1366,"p","dato provvisorio"
"078007","Alessandria del Carretto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",384,"p","dato provvisorio"
"084002","Alessandria della Rocca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2717,"p","dato provvisorio"
"075002","Alessano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6281,"p","dato provvisorio"
"075003","Alezio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5609,"p","dato provvisorio"
"065004","Alfano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",989,"p","dato provvisorio"
"066003","Alfedena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",917,"p","dato provvisorio"
